iter	Passed	Remaining
0	149	149290
1	151	75400
2	152	50696
3	158	39549
4	160	31984
5	162	26870
6	163	23218
7	165	20498
8	171	18876
9	173	17218
10	175	15802
11	177	14617
12	179	13597
13	180	12724
14	187	12338
15	189	11645
16	190	11027
17	192	10485
18	193	9998
19	195	9566
20	201	9384
21	205	9129
22	207	8831
23	210	8563
24	215	8421
25	217	8142
26	218	7882
27	220	7638
28	221	7418
29	223	7223
30	225	7039
31	232	7029
32	235	6906
33	238	6768
34	240	6619
35	247	6621
36	249	6492
37	251	6374
38	253	6252
39	255	6127
40	258	6045
41	260	5950
42	263	5875
43	266	5784
44	267	5684
45	271	5622
46	272	5535
47	277	5497
48	287	5583
49	289	5502
50	291	5425
51	293	5348
52	295	5282
53	298	5223
54	299	5146
55	301	5077
56	302	5010
57	304	4945
58	306	4890
59	308	4827
60	309	4768
61	311	4713
62	313	4662
63	315	4608
64	316	4553
65	318	4501
66	320	4457
67	321	4411
68	323	4361
69	329	4381
70	331	4333
71	332	4288
72	334	4250
73	336	4213
74	338	4179
75	346	4213
76	350	4199
77	351	4157
78	354	4127
79	357	4113
80	363	4122
81	365	4087
82	365	4039
83	368	4022
84	370	3986
85	374	3983
86	382	4008
87	384	3979
88	385	3949
89	391	3956
90	393	3927
91	395	3904
92	397	3873
93	399	3850
94	400	3819
95	408	3848
96	410	3818
97	411	3790
98	413	3762
99	415	3737
100	416	3711
101	426	3750
102	427	3726
103	429	3702
104	431	3676
105	432	3650
106	442	3692
107	443	3663
108	444	3636
109	445	3607
110	446	3579
111	447	3550
112	454	3565
113	456	3544
114	457	3518
115	458	3491
116	458	3463
117	460	3438
118	461	3414
119	462	3389
120	471	3427
121	472	3403
122	474	3383
123	475	3360
124	476	3336
125	478	3317
126	479	3293
127	482	3284
128	484	3272
129	486	3255
130	488	3238
131	489	3221
132	491	3206
133	493	3189
134	501	3214
135	504	3206
136	506	3190
137	508	3175
138	511	3169
139	515	3163
140	520	3169
141	522	3158
142	530	3182
143	532	3164
144	533	3146
145	534	3128
146	536	3113
147	537	3096
148	539	3080
149	545	3090
150	546	3075
151	549	3063
152	550	3049
153	552	3035
154	554	3022
155	560	3030
156	562	3018
157	563	3004
158	565	2989
159	566	2975
160	567	2959
161	569	2946
162	575	2954
163	577	2946
164	579	2932
165	581	2919
166	582	2906
167	584	2894
168	590	2901
169	591	2889
170	593	2875
171	594	2860
172	595	2845
173	596	2831
174	597	2816
175	598	2804
176	609	2835
177	611	2826
178	615	2825
179	622	2834
180	623	2822
181	625	2809
182	628	2803
183	629	2793
184	633	2791
185	635	2783
186	637	2772
187	639	2762
188	641	2753
